parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,银行,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,银行,119,n
行业百科,categories,印刷,119,n
,,综合条目,120,n
银行,categories,贷款,118,n
银行,categories,利率,118,n
银行,categories,银行制度,118,n
银行,categories,商业银行,118,n
银行,categories,商业票据,118,n
银行,categories,投资银行,118,n
银行,categories,信用卡,118,n
银行,categories,银行术语,118,n
银行,categories,银行法规,118,n
银行,categories,银行账户,118,n
银行,categories,银行理论,118,n
银行,categories,银行业务,118,n
银行,categories,银行类型,118,n
银行,categories,银行存款,118,n
银行,categories,银行结算,118,n
银行,categories,银行监管,118,n
银行,categories,银行排行榜,118,n
银行,categories,专业银行,118,n
银行,categories,中央银行,118,n
银行,word,银行,118,n
印刷,word,印刷,118,n
印刷,word,凹版印刷,118,n
印刷,word,按需印刷,118,n
印刷,word,包装印刷,118,n
印刷,word,玻璃印刷,118,n
印刷,word,表格印刷,118,n
印刷,word,不干胶印刷,118,n
印刷,word,承印物,118,n
印刷,word,裁切线,118,n
印刷,word,彩色印刷,118,n
印刷,word,磁性油墨印刷,118,n
印刷,word,出版印刷,118,n
印刷,word,重影,118,n
印刷,word,多语言排版,118,n
印刷,word,电解印刷,118,n
印刷,word,单色印刷,118,n
印刷,word,单张印刷,118,n
印刷,word,多色印刷,118,n
印刷,word,复印,118,n
印刷,word,复印效应,118,n
印刷,word,发泡印刷,118,n
印刷,word,防伪印刷,118,n
印刷,word,发行量稽核机构,118,n
印刷,word,滚翻印刷,118,n
印刷,word,功能印刷,118,n
印刷,word,混合印刷服务,118,n
印刷,word,静电印刷,118,n
印刷,word,金属印刷,118,n
印刷,word,机械印刷,118,n
印刷,word,孔版印刷,118,n
印刷,word,拓印,118,n
印刷,word,开孔面积百分率,118,n
印刷,word,离子沉积印刷,118,n
印刷,word,立体印刷,118,n
印刷,word,绿色印刷,118,n
印刷,word,旅游印刷品,118,n
印刷,word,模版印刷,118,n
印刷,word,盲文印刷,118,n
印刷,word,木版水印,118,n
印刷,word,平版印刷,118,n
印刷,word,喷墨印刷,118,n
印刷,word,喷雾印刷,118,n
印刷,word,全自动印刷机,118,n
印刷,word,全息印刷,118,n
印刷,word,曲面印刷,118,n
印刷,word,热敏印刷,118,n
印刷,word,柔性版印刷,118,n
印刷,word,软管印刷,118,n
印刷,word,数字印刷,118,n
印刷,word,手工印刷,118,n
印刷,word,双面印刷,118,n
印刷,word,双色印刷,118,n
印刷,word,塑料印刷,118,n
印刷,word,四色印刷,118,n
印刷,word,凸版印刷,118,n
印刷,word,特种印刷,118,n
印刷,word,烫印,118,n
