parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,通信,119,n
,,综合条目,120,n
通信,categories,电信公司,118,n
通信,word,通信,118,n
通信,word,6G,118,n
通信,word,ADSL,118,n
通信,word,ATM中央控制模块,118,n
通信,word,APP,118,n
通信,word,AODV,118,n
通信,word,APON,118,n
通信,word,BGP,118,n
通信,word,闭合用户群,118,n
通信,word,闭路电视监控系统,118,n
通信,word,半双工通信,118,n
通信,word,宽带综合业务数字网,118,n
通信,word,比特洪流,118,n
通信,word,比特率,118,n
通信,word,波特率,118,n
通信,word,波分复用技术,118,n
通信,word,通信保密,118,n
通信,word,报文交换,118,n
通信,word,不间断电源,118,n
通信,word,并行通信,118,n
通信,word,比特流,118,n
通信,word,表示层,118,n
通信,word,笨水管,118,n
通信,word,CDMA,118,n
通信,word,超媒体数据库,118,n
通信,word,超文本,118,n
通信,word,传输控制协议,118,n
通信,word,长波通信,118,n
通信,word,超光网,118,n
通信,word,串行通信,118,n
通信,word,传真通信,118,n
通信,word,程控交换机,118,n
通信,word,CDPD,118,n
通信,word,传送网,118,n
通信,word,CWDM,118,n
通信,word,CSMA/CA,118,n
通信,word,CSMA/CD,118,n
通信,word,传输时间间隔,118,n
通信,word,CMPP协议,118,n
通信,word,场地出租(通信),118,n
通信,word,城市光网,118,n
通信,word,策略路由,118,n
通信,word,重路由,118,n
通信,word,长途电话,118,n
通信,word,差错控制,118,n
通信,word,传输层,118,n
通信,word,电视会议系统,118,n
通信,word,视频会议系统,118,n
通信,word,电话会议系统,118,n
通信,word,DHCP,118,n
通信,word,多媒体电视,118,n
通信,word,多媒体点播系统,118,n
通信,word,多媒体宽带接入网,118,n
通信,word,电子邮件,118,n
通信,word,多媒体计算机,118,n
通信,word,多媒体通信,118,n
通信,word,多维数据库,118,n
通信,word,多媒体,118,n
通信,word,多媒体办公自动化系统,118,n
通信,word,多媒体终端,118,n
通信,word,多媒体电话通信,118,n
通信,word,多媒体移动通信系统,118,n
通信,word,多点视频会议系统,118,n
通信,word,多媒体用户接口,118,n
通信,word,电子邮件系统,118,n
通信,word,电子邮箱,118,n
通信,word,电话,118,n
通信,word,单工通信,118,n
通信,word,电写通信,118,n
通信,word,电力通信,118,n
通信,word,电信普遍服务,118,n
通信,word,电信普遍服务基金,118,n
通信,word,电信资源费,118,n
通信,word,DSRC,118,n
通信,word,带通滤波器,118,n
通信,word,电信息通信,118,n
通信,word,对称通信,118,n
通信,word,电话实名制,118,n
通信,word,电信运营商,118,n
通信,word,电信监管,118,n
通信,word,电信管理体制,118,n
通信,word,电信网,118,n
通信,word,大气激光通信,118,n
