parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,计算机,119,n
,,综合条目,120,n
计算机,categories,计算机办公设备公司,118,n
计算机,word,异步传输模式,118,n
计算机,word,安全即服务,118,n
计算机,word,ATM局域网仿真,118,n
计算机,word,安全实时传输协议,118,n
计算机,word,Andrew文件系统,118,n
计算机,word,ACT模型,118,n
计算机,word,Beta测试,118,n
计算机,word,Alpha测试,118,n
计算机,word,BGP,118,n
计算机,word,边缘路由器,118,n
计算机,word,编译器,118,n
计算机,word,表示媒体,118,n
计算机,word,本地路由器,118,n
计算机,word,补丁管理,118,n
计算机,word,比特,118,n
计算机,word,笔记本电脑,118,n
计算机,word,不间断电源,118,n
计算机,word,802.1x协议,118,n
计算机,word,BVT,118,n
计算机,word,备份断点续传,118,n
计算机,word,白帽黑客,118,n
计算机,word,比特币挖矿机,118,n
计算机,word,比特流,118,n
计算机,word,并行计算,118,n
计算机,word,并行处理,118,n
计算机,word,包转发率,118,n
计算机,word,比特币勒索病毒,118,n
计算机,word,城域网,118,n
计算机,word,存储介质,118,n
计算机,word,超文本,118,n
计算机,word,传输媒体,118,n
计算机,word,存储即服务,118,n
计算机,word,程序设计语言,118,n
计算机,word,超链接,118,n
计算机,word,磁带存储器,118,n
计算机,word,程控交换机,118,n
计算机,word,CIFS,118,n
计算机,word,COM,118,n
计算机,word,串行线路网际协议,118,n
计算机,word,超线程技术,118,n
计算机,word,CASE技术,118,n
计算机,word,C语言,118,n
计算机,word,C++,118,n
计算机,word,C Sharp,118,n
计算机,word,操作符重载,118,n
计算机,word,操作数,118,n
计算机,word,操作码,118,n
计算机,word,传输层,118,n
计算机,word,超级计算机,118,n
计算机,word,冲突域,118,n
计算机,word,超启发式算法,118,n
计算机,word,操作系统,118,n
计算机,word,程序循环,118,n
计算机,word,程序错误,118,n
计算机,word,超级本,118,n
计算机,word,重新启动,118,n
计算机,word,存储虚拟化,118,n
计算机,word,超级用户,118,n
计算机,word,CVV代码,118,n
计算机,word,数据库技术,118,n
计算机,word,多媒体技术,118,n
计算机,word,地址解析协议,118,n
计算机,word,带宽,118,n
计算机,word,电子密押,118,n
计算机,word,电子收款机,118,n
计算机,word,电子证据,118,n
计算机,word,地址寄存器,118,n
计算机,word,多媒体计算机,118,n
计算机,word,带宽管理器,118,n
计算机,word,动态链接,118,n
计算机,word,电子数字计算机,118,n
计算机,word,盗版软件,118,n
计算机,word,动态服务器主页,118,n
计算机,word,电子档案管理系统,118,n
计算机,word,单向链路,118,n
计算机,word,DDNS,118,n
计算机,word,代理服务器,118,n
计算机,word,DSRC,118,n
计算机,word,代码,118,n
