parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,证券,119,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
证券,categories,证券交易所,118,n
证券,categories,证券交易制度,118,n
证券,categories,证券术语,118,n
证券,categories,证券公司,118,n
证券,categories,证券法规,118,n
证券,categories,证券市场,118,n
证券,categories,证券类型,118,n
证券,categories,证券理论,118,n
证券,categories,证券制度,118,n
证券,categories,证券监管,118,n
证券,categories,证券发行,118,n
证券,categories,证券投资,118,n
证券,word,证券,118,n
证券术语,word,安定操作,117,n
证券术语,word,按揭证券公司,117,n
证券术语,word,保荐人,117,n
证券术语,word,不动产证券化,117,n
证券术语,word,不良资产证券化,117,n
证券术语,word,保证金账户,117,n
证券术语,word,保证金比例,117,n
证券术语,word,保证金可用余额,117,n
证券术语,word,保证金多头交易,117,n
证券术语,word,保证金空头交易,117,n
证券术语,word,保护性止损,117,n
证券术语,word,不良贷款证券化,117,n
证券术语,word,避税型证券组合,117,n
证券术语,word,保守型证券投资组合,117,n
证券术语,word,保荐代表人,117,n
证券术语,word,报价驱动,117,n
证券术语,word,备兑开仓,117,n
证券术语,word,备兑平仓,117,n
证券术语,word,部位限制,117,n
证券术语,word,保代持股,117,n
证券术语,word,B字账户,117,n
证券术语,word,A字账户,117,n
证券术语,word,D字账户,117,n
证券术语,word,场外交易,117,n
证券术语,word,贝塔系数,117,n
证券术语,word,场外交易市场,117,n
证券术语,word,操盘手,117,n
证券术语,word,承销团,117,n
证券术语,word,操纵市场,117,n
证券术语,word,存量资金,117,n
证券术语,word,冲击成本,117,n
证券术语,word,撮合方式,117,n
证券术语,word,创业板上市公司,117,n
证券术语,word,沉睡者,117,n
证券术语,word,抽头转卖,117,n
证券术语,word,超额利差,117,n
证券术语,word,场内交易员,117,n
证券术语,word,纯券过户,117,n
证券术语,word,筹资证券化,117,n
证券术语,word,财产权利证券化,117,n
证券术语,word,冲销销售,117,n
证券术语,word,场外自营买卖,117,n
证券术语,word,场内自营买卖,117,n
证券术语,word,差额交割,117,n
证券术语,word,撤销前有效委托,117,n
证券术语,word,场内报盘交易方式,117,n
证券术语,word,承销团承销,117,n
证券术语,word,承销团分销,117,n
证券术语,word,参与证书,117,n
证券术语,word,初级市场交易商,117,n
证券术语,word,触发挂单,117,n
证券术语,word,抽屉协议,117,n
证券术语,word,磁吸效应,117,n
证券术语,word,承销业务管理,117,n
证券术语,word,担保债务凭证,117,n
证券术语,word,跌价抛售,117,n
证券术语,word,定值过低,117,n
证券术语,word,当日有效定单,117,n
证券术语,word,第三方存管,117,n
证券术语,word,电脑委托,117,n
证券术语,word,贷款证券化,117,n
