parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,投资,119,n
金融百科,categories,银行,119,n
金融百科,categories,保险,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,保险,119,n
行业百科,categories,投资,119,n
行业百科,categories,银行,119,n
,,综合条目,120,n
保险,categories,保险公司,118,n
保险,categories,保险市场,118,n
保险,categories,保险术语,118,n
保险,categories,保险种类,118,n
保险,categories,保险合同,118,n
保险,categories,保险法规,118,n
保险,categories,保险原则,118,n
保险,categories,保险关系人,118,n
保险,categories,保险准备金,118,n
保险,categories,保险费率,118,n
保险,categories,保险营销,118,n
保险,categories,保险单,118,n
保险,categories,保险统计,118,n
保险,word,保险,118,n
银行,categories,贷款,118,n
银行,categories,利率,118,n
银行,categories,银行制度,118,n
银行,categories,商业银行,118,n
银行,categories,商业票据,118,n
银行,categories,投资银行,118,n
银行,categories,信用卡,118,n
银行,categories,银行术语,118,n
银行,categories,银行法规,118,n
银行,categories,银行账户,118,n
银行,categories,银行理论,118,n
银行,categories,银行业务,118,n
银行,categories,银行类型,118,n
银行,categories,银行存款,118,n
银行,categories,银行结算,118,n
银行,categories,银行监管,118,n
银行,categories,银行排行榜,118,n
银行,categories,专业银行,118,n
银行,categories,中央银行,118,n
银行,word,银行,118,n
投资,categories,实业投资公司,118,n
投资,categories,投资银行,118,n
投资,categories,投资术语,118,n
投资,categories,投资理论,118,n
投资,categories,投资学名著,118,n
投资,categories,投资方式,118,n
投资,categories,投资公司,118,n
投资,categories,投资类型,118,n
投资,categories,投资分析,118,n
投资,categories,投资评估,118,n
投资,word,投资,118,n
投资,word,投资需求规模,118,n
投资,word,物业投资者,118,n
投资,word,投资七大定律,118,n
保险种类,categories,保险种类图像,117,n
保险种类,categories,财产保险,117,n
保险种类,categories,工程保险,117,n
保险种类,categories,人身保险,117,n
保险种类,categories,社会保险,117,n
保险种类,categories,信用保险,117,n
保险种类,categories,运输保险,117,n
保险种类,word,安装工程一切险,117,n
保险种类,word,安居定期险,117,n
保险种类,word,变额年金保险,117,n
保险种类,word,变额保险,117,n
保险种类,word,不定值保险,117,n
保险种类,word,补充保险,117,n
保险种类,word,绑票保险,117,n
保险种类,word,保险电子商务,117,n
保险种类,word,互助保险,117,n
保险种类,word,并购保证及补偿保险,117,n
保险种类,word,船舶保险,117,n
保险种类,word,残疾收入补偿保险,117,n
保险种类,word,产品质量保证保险,117,n
保险种类,word,长期护理保险,117,n
保险种类,word,重置价值保险,117,n
保险种类,word,车辆损失保险,117,n
保险种类,word,船舶碰撞责任保险,117,n
保险种类,word,出国人员人身意外保险,117,n
保险种类,word,财产一切险,117,n
