parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
经济百科,categories,购买力,119,n
经济百科,categories,国民经济,119,n
经济百科,categories,货币制度,119,n
,,金融百科,120,n
金融百科,categories,货币制度,119,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
货币制度,categories,汇率制度,118,n
货币制度,categories,货币制度图像,118,n
货币制度,word,货币制度,118,n
货币制度,word,布雷顿森林体系,118,n
货币制度,word,布雷顿森林会议,118,n
货币制度,word,跛行本位制,118,n
货币制度,word,不兑现的信用货币制度,118,n
货币制度,word,单本位制,118,n
货币制度,word,地区货币制度,118,n
货币制度,word,英格兰银行条例,118,n
货币制度,word,复本位制,118,n
货币制度,word,国际货币体系,118,n
货币制度,word,广场协议,118,n
货币制度,word,国家货币制度,118,n
货币制度,word,货币配给制,118,n
货币制度,word,货币目标公布制,118,n
货币制度,word,汇率目标区方案,118,n
货币制度,word,货币发行准备制度,118,n
货币制度,word,货币发行制度,118,n
货币制度,word,货币法,118,n
货币制度,word,怀特计划,118,n
货币制度,word,混合本位制,118,n
货币制度,word,金本位制,118,n
货币制度,word,金币本位制,118,n
货币制度,word,金块本位制,118,n
货币制度,word,金汇兑本位制,118,n
货币制度,word,金准备制度,118,n
货币制度,word,凯恩斯计划,118,n
货币制度,word,跨国货币制度,118,n
货币制度,word,麦金农方案,118,n
货币制度,word,美元本位制,118,n
货币制度,word,平行本位制,118,n
货币制度,word,区域性货币制度,118,n
货币制度,word,全本位制,118,n
货币制度,word,史密森学会协议,118,n
货币制度,word,商品本位制,118,n
货币制度,word,信用本位制,118,n
货币制度,word,香港货币制度,118,n
货币制度,word,信用货币制度,118,n
货币制度,word,银本位制,118,n
货币制度,word,牙买加体系,118,n
货币制度,word,纸币本位制度,118,n
货币制度,word,纸币流通制度,118,n
货币制度,word,自由铸造,118,n
国民经济,categories,国民经济账户,118,n
国民经济,word,国民经济,118,n
国民经济,word,常住单位,118,n
国民经济,word,非常住单位,118,n
国民经济,word,国民经济物流,118,n
国民经济,word,国民经济景气监测,118,n
国民经济,word,国民经济核算,118,n
国民经济,word,国民经济管理,118,n
国民经济,word,国民经济决策,118,n
国民经济,word,国民经济信息化,118,n
国民经济,word,国民经济短期核算,118,n
国民经济,word,国民经济地区核算,118,n
国民经济,word,国民经济和社会发展计划,118,n
国民经济,word,国民经济总量,118,n
国民经济,word,国民经济结构,118,n
国民经济,word,国民经济分类,118,n
国民经济,word,国民经济统计,118,n
国民经济,word,国民经济综合平衡,118,n
国民经济,word,国民经济评价参数,118,n
国民经济,word,国民经济动员潜力,118,n
国民经济,word,国民经济潜力,118,n
国民经济,word,国民经济动员,118,n
国民经济,word,国民经济动员预案,118,n
